2 1000
1.15 2.36 1
-3.38 2.77 1
-0.08 2.15 1
-1.55 5.17 1
-4.37 5.70 1
2.08 2.45 1
-0.36 3.49 1
-3.26 5.71 1
-2.28 3.12 1
-4.22 1.10 1
-1.99 2.87 1
-3.95 4.41 1
-2.86 4.38 1
-3.94 -1.12 1
-2.58 0.33 1
-1.74 3.79 1
-1.81 -0.97 1
1.66 2.60 1
0.13 0.69 1
-3.69 -2.76 1
-3.80 -1.40 1
-4.67 1.77 1
-3.47 4.04 1
-4.28 -3.30 1
-5.84 3.98 1
1.34 4.56 1
-1.50 -0.34 1
-3.92 0.30 1
-2.42 0.32 1
-3.01 2.04 1
0.82 4.59 1
3.80 4.38 1
-5.40 0.73 1
-5.94 -0.84 1
-0.36 4.53 1
-3.88 0.13 1
-4.16 0.96 1
-0.52 -0.26 1
-3.94 -1.74 1
-4.11 1.65 1
-5.69 -3.05 1
-3.23 5.17 1
-1.71 1.03 1
-4.43 -2.79 1
-4.86 3.67 1
2.12 2.82 1
0.24 1.72 1
-5.20 -2.12 1
-2.85 1.14 1
-2.26 2.42 1
2.01 5.28 1
-1.58 -1.00 1
-3.62 0.10 1
-3.92 3.32 1
-4.92 2.50 1
-1.92 0.12 1
1.60 4.20 1
3.39 3.71 1
-0.85 4.13 1
-2.15 1.90 1
-4.99 -3.32 1
-1.73 3.79 1
0.43 5.07 1
2.66 5.84 1
-2.69 1.03 1
-5.43 -2.76 1
-0.78 -0.30 1
-3.12 -1.83 1
-3.03 -2.53 1
-4.06 4.11 1
-3.17 5.55 1
-2.22 2.93 1
0.20 3.30 1
-2.82 1.43 1
0.29 0.44 1
4.10 4.88 1
-4.14 1.07 1
-4.01 -2.82 1
-5.58 -1.78 1
1.38 3.13 1
-2.91 -1.48 1
-5.01 -1.08 1
-5.74 -3.63 1
-5.71 2.01 1
-3.06 4.90 1
-3.31 4.31 1
-3.43 -3.05 1
0.87 4.58 1
-5.84 -1.28 1
3.53 5.58 1
-4.66 3.29 1
-3.21 -1.58 1
-3.99 -3.01 1
0.83 4.44 1
-0.01 5.53 1
-1.19 -0.06 1
-5.10 1.53 1
-4.96 -1.70 1
-5.26 -2.45 1
2.95 3.58 1
-3.19 -2.35 1
-5.28 2.88 1
3.97 4.70 1
-5.38 -0.94 1
-3.71 -1.74 1
-1.01 1.61 1
-0.83 3.93 1
-1.61 0.81 1
-0.44 3.29 1
-4.82 3.41 1
-4.63 -4.28 1
3.64 5.84 1
1.40 1.74 1
4.62 5.88 1
-4.43 -2.37 1
-3.62 2.30 1
-0.57 3.73 1
-2.31 4.53 1
0.83 5.28 1
-1.78 1.74 1
0.30 0.99 1
-4.57 0.79 1
1.61 2.07 1
0.52 1.01 1
-4.53 -4.18 1
-4.87 -2.16 1
-1.76 -0.29 1
-5.15 5.35 1
-0.28 4.27 1
-4.20 5.07 1
-4.17 -1.26 1
-2.98 3.86 1
-5.81 1.93 1
-5.27 1.01 1
0.84 3.89 1
-5.88 -4.45 1
-2.92 5.15 1
-4.07 5.67 1
-1.28 0.11 1
-0.62 5.30 1
-2.12 1.99 1
-2.40 0.46 1
-1.61 4.09 1
-1.49 0.53 1
-1.02 3.18 1
-5.44 0.64 1
-5.28 3.51 1
-0.72 1.40 1
-3.12 -1.38 1
-5.30 2.74 1
-5.71 -2.14 1
-1.81 5.00 1
-0.19 5.43 1
-0.41 5.70 1
-5.95 2.06 1
-4.57 -1.35 1
1.60 1.90 1
-2.73 0.37 1
-1.97 3.25 1
-5.02 4.79 1
-1.12 -0.13 1
-2.75 2.75 1
-0.37 1.90 1
-5.71 -4.35 1
-2.56 2.55 1
1.63 4.86 1
4.27 4.77 1
-4.99 -4.07 1
0.98 3.59 1
3.93 5.36 1
-1.65 3.18 1
-2.71 5.15 1
-0.98 0.22 1
-5.05 -4.21 1
-1.91 1.65 1
-2.81 2.89 1
5.00 5.88 1
-3.73 -2.05 1
0.72 4.29 1
1.42 1.94 1
1.14 4.07 1
-4.12 5.42 1
-5.09 -1.29 1
0.14 3.29 1
3.16 5.35 1
0.66 3.85 1
0.30 4.32 1
-5.42 -4.27 1
-3.81 3.65 1
-5.63 4.02 1
-4.17 3.10 1
-0.22 2.07 1
-0.37 0.77 1
-3.30 1.44 1
-4.91 3.05 1
4.53 5.93 1
-3.40 -3.02 1
-1.11 4.54 1
-5.38 -1.08 1
-3.73 -0.26 1
-3.60 -3.09 1
-3.14 -1.71 1
0.36 2.02 1
4.49 5.18 1
3.73 4.85 1
2.90 5.54 1
4.59 5.43 1
-2.58 -0.03 1
1.97 4.72 1
-0.98 3.79 1
-5.09 -1.14 1
-5.86 -1.51 1
-4.11 5.74 1
-3.81 5.94 1
-5.81 -3.48 1
-5.71 -2.35 1
-4.74 4.15 1
-2.54 3.58 1
-4.09 -0.27 1
0.07 3.38 1
1.22 4.25 1
-1.09 0.80 1
-5.56 -5.54 1
-4.84 2.31 1
-0.77 5.31 1
-5.79 5.19 1
-5.43 -4.30 1
-5.23 -3.31 1
-3.18 -3.10 1
3.65 4.47 1
5.30 5.62 1
-5.51 3.28 1
3.60 3.65 1
-3.69 -3.44 1
-1.68 -0.32 1
1.07 5.05 1
-3.42 -1.27 1
0.11 4.43 1
-3.33 4.04 1
-4.55 -3.27 1
-5.41 0.29 1
-5.31 -2.41 1
-1.07 -0.63 1
2.43 4.14 1
-0.03 1.60 1
-5.95 -1.28 1
2.51 4.58 1
-1.60 -0.00 1
0.10 4.17 1
2.59 4.33 1
2.02 4.84 1
-1.77 4.41 1
0.92 4.88 1
-4.70 1.23 1
0.73 5.77 1
-5.90 5.08 1
-4.87 -3.27 1
-4.11 -2.78 1
-2.82 3.94 1
-2.90 4.39 1
-3.48 5.04 1
-4.26 1.15 1
-3.58 0.18 1
-4.19 5.31 1
0.66 5.26 1
-1.56 0.75 1
2.52 -4.44 -1
4.40 -2.98 -1
4.35 3.46 -1
-0.14 -2.54 -1
-0.78 -5.86 -1
2.84 -0.52 -1
1.68 -2.71 -1
-4.09 -5.99 -1
-2.37 -3.13 -1
5.19 0.36 -1
5.25 -2.23 -1
4.83 2.15 -1
0.49 -1.07 -1
4.00 -1.97 -1
5.61 1.24 -1
-2.29 -5.44 -1
4.27 2.64 -1
2.88 -1.06 -1
4.62 -0.96 -1
-0.23 -3.65 -1
3.28 -5.16 -1
-1.17 -1.82 -1
4.51 -1.48 -1
4.53 -1.06 -1
3.40 -1.38 -1
2.74 -4.74 -1
-2.04 -4.00 -1
5.73 -1.53 -1
2.22 0.64 -1
-3.01 -4.09 -1
4.86 0.66 -1
4.84 4.15 -1
2.28 -0.21 -1
3.29 1.13 -1
-1.27 -4.69 -1
-0.86 -1.12 -1
5.96 5.13 -1
3.56 1.34 -1
0.52 -1.17 -1
3.18 2.97 -1
5.95 1.48 -1
3.08 2.84 -1
-2.40 -4.49 -1
-2.96 -3.28 -1
-1.06 -3.83 -1
3.01 0.80 -1
5.86 2.61 -1
2.04 -1.66 -1
2.65 -1.49 -1
-5.15 -5.40 -1
1.57 -3.79 -1
4.76 2.44 -1
-1.53 -3.70 -1
1.58 -3.35 -1
1.84 -3.80 -1
3.24 -5.25 -1
5.13 -4.88 -1
4.56 -1.59 -1
5.16 0.65 -1
0.97 -0.09 -1
1.16 0.09 -1
0.07 -1.74 -1
-1.99 -3.81 -1
4.57 0.36 -1
5.30 0.07 -1
5.62 5.58 -1
-2.87 -4.78 -1
-2.80 -4.83 -1
0.50 -4.44 -1
5.53 -1.94 -1
0.17 -2.57 -1
2.35 -2.73 -1
5.86 4.61 -1
-0.53 -3.74 -1
5.41 -4.82 -1
5.39 -0.21 -1
4.51 3.63 -1
-3.20 -5.83 -1
-0.52 -3.56 -1
-2.93 -5.26 -1
-3.86 -4.44 -1
4.75 -3.02 -1
5.09 -1.63 -1
-0.77 -2.39 -1
-1.20 -4.35 -1
4.64 1.62 -1
3.48 0.92 -1
5.86 0.78 -1
4.74 2.40 -1
-2.37 -5.86 -1
2.04 -4.00 -1
4.96 -4.38 -1
5.69 -0.43 -1
5.93 3.49 -1
0.52 -0.39 -1
4.22 -0.26 -1
0.49 -5.35 -1
1.57 -5.52 -1
5.70 3.13 -1
4.95 -5.83 -1
2.24 -4.11 -1
-0.36 -4.77 -1
2.77 1.15 -1
0.52 -5.20 -1
4.79 -4.97 -1
3.29 -2.90 -1
5.18 1.44 -1
3.05 2.56 -1
4.82 -0.38 -1
2.47 1.05 -1
0.87 -5.71 -1
2.55 -1.12 -1
2.34 -1.06 -1
4.98 -5.56 -1
0.84 -4.08 -1
0.76 -4.08 -1
-3.34 -5.29 -1
4.51 1.16 -1
3.11 -5.00 -1
4.72 -4.56 -1
5.28 1.24 -1
4.73 3.69 -1
4.90 2.67 -1
-1.20 -3.36 -1
-1.75 -3.64 -1
5.99 -0.05 -1
4.85 3.58 -1
3.75 0.93 -1
0.93 0.36 -1
5.76 -3.40 -1
5.66 1.36 -1
5.94 3.81 -1
3.30 -2.30 -1
5.56 4.38 -1
-2.45 -5.34 -1
3.54 0.04 -1
1.66 0.38 -1
3.12 -0.10 -1
5.94 -4.25 -1
5.33 -2.28 -1
3.89 -4.33 -1
-1.24 -5.09 -1
3.04 -3.08 -1
5.89 3.42 -1
5.38 -0.14 -1
2.98 -2.39 -1
5.66 2.51 -1
-0.02 -5.30 -1
5.70 -1.08 -1
-0.34 -2.28 -1
1.04 -4.61 -1
4.55 3.24 -1
-1.33 -4.56 -1
1.08 0.89 -1
2.38 2.33 -1
2.57 -4.93 -1
0.40 -2.94 -1
0.43 -5.01 -1
4.45 4.23 -1
0.31 -2.48 -1
-1.78 -3.98 -1
-0.27 -3.32 -1
6.00 -3.20 -1
5.78 4.95 -1
-3.65 -5.13 -1
1.39 -0.28 -1
0.80 -5.52 -1
5.60 -5.54 -1
4.66 -4.34 -1
3.94 3.65 -1
0.68 -5.95 -1
2.98 -1.24 -1
1.54 -1.14 -1
1.43 -0.20 -1
-0.76 -5.67 -1
5.57 -3.67 -1
-0.42 -2.69 -1
4.60 4.13 -1
1.93 1.60 -1
-1.41 -2.03 -1
4.89 -1.71 -1
-1.98 -5.70 -1
2.39 2.09 -1
-3.63 -5.32 -1
-1.31 -3.36 -1
1.80 -1.25 -1
2.11 2.01 -1
0.96 -5.13 -1
-2.90 -5.22 -1
-0.32 -5.84 -1
-0.31 -5.49 -1
-3.23 -3.38 -1
1.13 -5.53 -1
3.94 -4.93 -1
5.45 -3.06 -1
-0.16 -0.74 -1
2.54 2.44 -1
2.65 -5.72 -1
5.69 0.50 -1
2.91 0.72 -1
1.71 -1.46 -1
5.00 1.33 -1
0.42 -2.63 -1
2.97 -5.72 -1
3.33 0.13 -1
5.82 4.86 -1
1.50 -5.90 -1
0.89 0.49 -1
2.77 -5.00 -1
1.83 -0.24 -1
4.26 2.06 -1
4.18 -0.48 -1
3.24 -5.00 -1
5.02 -0.63 -1
-1.68 -3.31 -1
-0.59 -2.49 -1
3.22 -1.41 -1
0.54 -2.11 -1
-0.96 -2.13 -1
1.50 -0.20 -1
3.12 -1.24 -1
0.22 -5.18 -1
5.58 1.74 -1
0.56 -2.81 -1
-3.49 -4.27 -1
-4.91 -5.15 -1
4.03 -1.85 -1
2.72 -0.40 -1
-5.59 -5.97 -1
4.53 -2.09 -1
2.03 0.25 -1
-5.20 -5.28 -1
3.07 -0.58 -1
2.19 -1.68 -1
2.21 2.10 -1
5.79 1.99 -1
3.43 -3.52 -1
5.18 3.95 -1
2.48 1.12 -1
4.86 2.75 -1
-3.95 -4.99 -1
3.97 3.46 -1
4.70 0.08 -1
-3.27 -4.12 -1
2.65 -1.97 -1
4.52 -5.58 -1
-1.14 -5.50 -1
3.54 3.31 -1
1.91 -1.22 -1
4.60 -0.24 -1
-3.21 -3.31 -1
0.65 -5.80 -1
2.56 -2.47 -1
-2.94 -4.71 -1
-2.76 -5.77 -1
-1.31 -5.60 -1
4.62 4.16 -1
0.75 -2.95 -1
-0.50 -4.59 -1
5.48 4.32 -1
2.79 2.07 -1
5.45 -2.85 -1
4.79 2.81 -1
4.87 4.83 -1
5.03 1.34 -1
-0.13 -5.71 -1
2.58 -0.73 -1
3.53 -2.81 -1
-2.94 -5.50 -1
0.56 -1.36 -1
1.04 -0.25 -1
0.39 -4.48 -1
5.40 -1.06 -1
2.84 1.65 -1
4.12 0.92 -1
-0.15 -3.14 -1
-1.02 -3.46 -1
1.61 -2.60 -1
-2.38 -5.97 -1
4.35 0.98 -1
-3.93 -4.10 -1
0.72 -2.03 -1
3.19 0.08 -1
3.63 -4.60 -1
5.78 -4.65 -1
-1.92 -2.29 -1
-1.27 -2.52 -1
3.25 -3.15 -1
2.43 -2.65 -1
5.79 -1.33 -1
0.42 -0.35 -1
-1.84 -4.54 -1
5.69 -4.13 -1
1.17 0.51 -1
-1.17 -3.49 -1
0.46 0.19 -1
3.63 -2.31 -1
0.61 -2.82 -1
5.18 4.99 -1
1.47 -3.30 -1
3.22 3.06 -1
-1.35 -3.41 -1
-0.74 -5.66 -1
-0.93 -3.70 -1
-1.42 -3.29 -1
-2.37 -3.72 -1
1.80 -4.88 -1
1.74 -0.52 -1
5.97 3.05 -1
0.36 -0.74 -1
4.96 -0.92 -1
3.75 3.63 -1
0.01 -3.46 -1
3.66 -3.85 -1
1.68 -3.10 -1
1.69 -2.23 -1
-1.32 -4.95 -1
0.86 -1.52 -1
-0.39 -5.39 -1
0.82 -2.55 -1
-1.50 -4.95 -1
4.52 0.68 -1
3.81 -4.57 -1
3.87 -3.50 -1
0.22 -5.41 -1
4.82 0.76 -1
5.46 5.32 -1
2.51 0.14 -1
-3.16 -3.75 -1
0.03 -3.99 -1
5.98 3.69 -1
5.05 4.83 -1
-0.19 -0.62 -1
-0.78 -1.08 -1
5.74 5.17 -1
2.98 -3.46 -1
-0.86 -2.92 -1
4.34 4.21 -1
4.46 3.41 -1
-4.47 -5.74 -1
3.14 2.67 -1
5.91 -1.99 -1
5.35 4.62 -1
3.99 1.42 -1
-2.75 -4.63 -1
4.65 -3.35 -1
5.12 -4.77 -1
4.38 -2.38 -1
-1.04 -3.63 -1
4.73 -3.43 -1
2.51 -2.02 -1
4.07 3.16 -1
-3.30 -5.06 -1
-2.77 -3.19 -1
3.89 -1.04 -1
-3.30 -4.34 -1
3.11 -1.26 -1
3.62 -3.52 -1
0.71 -2.74 -1
4.94 -5.75 -1
1.20 -4.65 -1
3.16 -4.23 -1
5.77 -5.22 -1
-2.62 -5.18 -1
3.25 -3.83 -1
4.08 0.05 -1
5.68 2.03 -1
2.25 1.59 -1
-1.02 -2.02 -1
3.18 -0.48 -1
2.57 -4.75 -1
1.24 -4.97 -1
4.67 4.39 -1
-1.47 -2.83 -1
4.89 0.03 -1
4.28 -5.41 -1
2.09 -3.52 -1
-0.36 -3.61 -1
4.69 -3.53 -1
4.62 3.78 -1
-1.08 -3.46 -1
4.12 -0.71 -1
-0.12 -1.60 -1
-1.65 -2.48 -1
2.34 -5.77 -1
0.62 -2.01 -1
4.64 0.51 -1
0.85 0.29 -1
1.26 -3.34 -1
3.53 -2.51 -1
3.06 -1.06 -1
4.97 0.93 -1
3.24 1.19 -1
5.44 -0.12 -1
-4.41 -5.26 -1
-0.37 -2.02 -1
-0.65 -4.93 -1
0.86 0.77 -1
4.03 -0.29 -1
-0.70 -2.43 -1
5.36 -2.26 -1
2.81 -0.58 -1
2.11 -4.47 -1
3.85 -2.61 -1
0.75 -5.41 -1
1.48 -3.85 -1
1.56 -2.16 -1
5.37 -2.77 -1
2.22 -3.06 -1
-0.53 -4.84 -1
5.79 1.55 -1
4.30 -5.28 -1
5.42 -5.38 -1
4.80 -0.85 -1
3.07 -5.09 -1
2.55 -0.59 -1
1.85 -2.05 -1
2.99 -5.66 -1
5.61 -3.98 -1
3.67 -4.79 -1
2.25 -5.33 -1
3.05 1.63 -1
5.76 -4.58 -1
1.40 -3.45 -1
4.39 -3.32 -1
-1.65 -5.81 -1
0.30 -3.78 -1
5.94 -5.58 -1
2.13 0.90 -1
2.89 -3.59 -1
3.16 -4.71 -1
2.39 -0.69 -1
-3.40 -4.86 -1
5.09 2.02 -1
5.80 -3.51 -1
4.28 -3.35 -1
5.96 -4.36 -1
-2.93 -3.96 -1
1.05 -3.50 -1
1.09 0.07 -1
0.11 -0.20 -1
1.90 -4.70 -1
0.68 -2.71 -1
1.28 -4.60 -1
5.82 -3.24 -1
-1.43 -5.92 -1
2.35 1.63 -1
5.96 -1.38 -1
2.09 -2.07 -1
3.18 -2.45 -1
5.05 -1.57 -1
-1.08 -4.12 -1
2.83 -4.98 -1
4.43 -1.29 -1
2.59 -1.26 -1
3.18 -1.56 -1
-1.09 -3.82 -1
5.39 0.32 -1
5.60 1.35 -1
-1.84 -4.06 -1
5.39 1.49 -1
5.77 1.02 -1
2.69 0.53 -1
-3.87 -4.83 -1
1.86 1.47 -1
0.97 -2.46 -1
0.61 -2.54 -1
-2.24 -3.53 -1
3.08 -5.32 -1
-1.33 -5.25 -1
4.87 -1.04 -1
-0.51 -3.22 -1
5.44 -0.33 -1
-0.48 -2.21 -1
2.61 -0.63 -1
-0.04 -2.26 -1
0.51 -1.09 -1
5.77 -0.68 -1
0.74 -0.98 -1
0.29 -4.02 -1
0.63 -3.35 -1
0.64 0.12 -1
4.24 -2.75 -1
0.73 -1.66 -1
1.34 -4.85 -1
5.09 2.81 -1
0.02 -5.83 -1
4.01 -4.36 -1
-1.78 -5.60 -1
1.54 -3.58 -1
0.90 -3.27 -1
4.66 0.35 -1
4.52 -4.88 -1
3.83 -0.97 -1
3.04 2.54 -1
5.76 -4.29 -1
4.67 3.29 -1
5.67 -4.27 -1
5.07 -2.38 -1
3.87 -1.41 -1
